url,Product_Name,Data sheet 1,Data sheet 2,Data sheet 3,Data sheet 4,Data sheet 5,Data sheet 6,Data sheet 7,Data sheet 8,Data sheet 9,Data sheet 10,Data sheet 11,Data sheet 12,Data sheet 13,Data sheet 14,Data sheet 15,Data sheet 16
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/em-712-multibeam-echosounder-max.-3600-m,"EM 712 Multibeam echosounder, Max. 3600 m",https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/datasheet_em_712.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/464489ae_hws_mc3xx_data_sheet_02.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/446295c_sis5_data_sheet.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/01.sis-remote-2p-26.05.21.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/gnss-compass-and-position-sensor/,GNSS compass and position sensor,https://www.kongsberg.com/contentassets/0d2751ec14f74850bf4106ace4472d5f/datasheet_seanav300.pdf, https://www.kongsberg.com/globalassets/maritime/snr-files/mfd/datasheet_mfd307_aug18.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,GNSS/DGNSS Position Sensors,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsi1_aug22.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/443866f_ds_dpsi2.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0048136_ds_a---dpsi3.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0012621b_dpsi4_ds_oct22.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0048137_ds_a---dpsi6.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps5d.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dgnss3710.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsdisplayunit.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps112.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps114.pdf,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/differential-absolute-relative-position-sensor/,GNSS-based Relative Position Sensor,https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/110-0042313a_datasheet_darps232_jun23.pdf, https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_darps900b.pdf, https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_dgnss3710.pdf,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/helideck-monitoring-system/,Helideck Monitoring System,https://www.kongsberg.com/contentassets/587a526dc451456eb14a0eb82c31554d/471738b_ds_hms300_oct22.pdf, https://www.kongsberg.com/contentassets/587a526dc451456eb14a0eb82c31554d/datasheet_avr100.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/laser-based-position-reference-system/,Laser-based relative position sensor,https://www.kongsberg.com/contentassets/1a091b5424194147b3b80f43f250ed72/datasheet_spottrack.pdf, https://www.kongsberg.com/contentassets/1a091b5424194147b3b80f43f250ed72/datasheet_spottrackprisms.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/broadband-radios/maritime-broadband-radio/,Maritime Broadband Radio - MBR,https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_personal.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_submersible.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_uav_jun23.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_oem.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mkii.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2portable.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2portable.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_sep22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_submersible_sep22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_oem_aug22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2fcc_aug22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2fccportable_aug22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2_fcc_aug22.pdf, https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2fccportable_aug22.pdf
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/pap-micropap-compact-acoustic-positioning-system/,MicroPAP (µPAP) - Compact acoustic positioning system,https://www.kongsberg.com/contentassets/74abdf0f29314872b3647153edb20114/393495l-pap-datasheet.pdf, https://www.kongsberg.com/contentassets/74abdf0f29314872b3647153edb20114/481073b-pap-201-c-datasheet.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/mru/,Motion Reference Unit,https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mru2.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mru3.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mru5.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mru5mkii.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mrud.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mrue.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mruh.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/datasheet_mrus.pdf, https://www.kongsberg.com/contentassets/77678b37b4c94d51bbfd7d8abdf82c73/461546b_datasheet_mgc_recal_nov23.pdf,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/long-range-relative-positioning-solution/,MW-based Long-range relative position sensor,https://www.kongsberg.com/contentassets/ebe8c6b9dc3c49eeb5963a5518c1646e/110-0027778a_datasheet_xpr100_feb23.pdf, https://www.kongsberg.com/contentassets/ebe8c6b9dc3c49eeb5963a5518c1646e/110-0027790a_datasheet_xpr100ex_feb23.pdf, https://www.kongsberg.com/contentassets/ebe8c6b9dc3c49eeb5963a5518c1646e/110-0027949a_datasheet_xpr100exlp_feb23.pdf,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/relative-position-reference-system-radius/,MW-based Relative position sensor,https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/110-0030758b_datasheet_radius2000_mar23.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius550x.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius600x.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius700.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius700x.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radius800x.pdf, https://www.kongsberg.com/contentassets/afb048f8c2584b379af4b51eed83d2e7/datasheet_radiusexbattery.pdf,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/non-differential-position-sensors/,Non-Differential Position Sensors,https://www.kongsberg.com/contentassets/68318fe026694f74bb05408ffdbb34a7/datasheet_dpsi2.pdf, https://www.kongsberg.com/contentassets/68318fe026694f74bb05408ffdbb34a7/datasheet_dpsi4.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/EA400-600/,"Side scan echo sounder, EA400",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/200-khz---0.5x49-side-looking-echo-sounder-transducer, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea400-hydrographic-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea400-survey-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea400_600-sidescan-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea400sp-portable-splashproof-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/single-beam-operator-station-hydrographic-operator-station/,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,Single beam bottom mapping transducers,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/160920_transducer_12-16_60.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/300863_transducer15_17.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/130404ac_18-11_product_specification_english.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164017_38-7.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164330ab_38-9_product_specification_english.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/160965ab.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164330ab_38-9_product_specification_english.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164023_120-25.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164022_200-28e.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/300863_transducer15_17.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/459672a_200-3g_product-sheet.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/422109-transducer-500khz-data-sheet.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/300867aa_sidelooking_transducer_200_lr.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/404173_sidescan_transducer_500khz_data_sheet.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164210_38-200_combi_d.pdf, https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164211_50-200_combi_d.pdf
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/EA-600/,"Single beam echo sounder, EA600 - To 11.000 m",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/200-khz---0.5x49-side-looking-echo-sounder-transducer, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea400_600-sidescan-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea600-hydrographic-single-beam-echo-sounder/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/rd-301-echo-sounder-remote-display/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/single-beam-operator-station-hydrographic-operator-station/,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/RD-301/,"Single beam echo sounder, remote display",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/164241ac_en250_product_specific_lr.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/164821aa_rd301_instruction_manual_lr.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/seafloor-information-system-5/,SIS 5 - Multibeam echosounder software,https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/hws_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_remote_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_training_ds_en_a4.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/sis-remote/,SIS remote ,https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/hws_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_remote_ds_en_a4.pdf, https://www.kongsberg.comhttps://www.kongsbergdiscovery.online/sis/sales/sis_training_ds_en_a4.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sub-bottom-profilers2/sub-bottom-profiler-parametric/,"Sub-bottom profiler, Topas",https://www.kongsberg.com/contentassets/5d74ac17037e48d383900f89d4f9557b/482731a-topas-ps120-datasheet.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/topas-ps-18-parametric-sub-bottom-profiler.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/topas-ps-40-parametric-sub-bottom-profiler.pdf,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,TTC 30 & TTC 10 - Transponders test and configuration units,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/transponder-test-and-configuration-tool---ttc-light/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ttc-30-and-ttc-10-transponder-test-and-configuration-unit/,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/deck-machinery-and-cranes/deck-machinery/seismic-vessels/spread-management/seatrack-220-320/,"GPS transponder, Seatrack 220 / 320",https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seatrack220.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seatrack222.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seatrack222b.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seatrack320_oct18.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seadiff300.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seadiff320.pdf, https://www.kongsberg.com/contentassets/4147baa3ebf2431f8727ee50d889df87/datasheet_seadiff380.pdf,,,,,,,,,
https://www.kongsberg.com/maritime/products/deck-machinery-and-cranes/deck-machinery/seismic-vessels/spread-management/seatrack-330/,"GPS transponder, Seatrack 330",https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seatrack320.pdf, https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seatrack330.pdf, https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seatrack332.pdf, https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seadiff300.pdf, https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seadiff320.pdf, https://www.kongsberg.com/contentassets/5eb085fbd30f4ef18284e58ac1b670c5/datasheet_seadiff380.pdf,,,,,,,,,,
