url,Product_Name,Data sheets
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38dd/,Simrad ES38DD,https://www.simrad.online/td_038/es38dd/sales/es38dd_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/es70/,Simrad ES70,
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-es70-11/,Simrad ES70-11,https://www.kongsberg.com/globalassets/discovery/simrad/transducers/70-and-es70/110378ac.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-es70-18cd/,Simrad ES70-18CD,https://simrad.online/td_070/es70_18cd/es70_18cd_ds_en.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/es70_7c/,Simrad ES70-7C,https://www.simrad.online/td_070/es70_7c/sales/es70_7c_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-es70-7cd/,Simrad ES70-7CD,https://www.kongsberg.com/globalassets/discovery/simrad/transducers/70-and-es70/es70_7cd_ds_english.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/es80/,Simrad ES80,
https://www.kongsberg.com/maritime/products/commercial-fisheries/simrad-trawl-sonars/fm90/,Simrad FM90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/simrad-trawl-sonars/Simrad-FS70/,Simrad FS70,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/fx/,Simrad FX,https://www.simrad.online/fx/sales/fx_brochure_en_a4.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/iti/,Simrad ITI,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/mf90/,Simrad MF90,https://www.simrad.online/mf90/sales/mf90_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pi-configurator/,Simrad PI Configurator,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/simrad-pi50/,Simrad PI50,
